0.01	0.9999733984	3.72941227E-04	1.29138073E-07
0.1	0.999733984	3.72941270E-02	1.29138084E-06
0.2	0.999733984	0.149176508	2.58276168E-06
0.3	0.999733984	0.335647136	3.87414275E-06
0.4	0.999733984	0.596706033	5.16552336E-06
0.43	0.999733984	0.689568341	5.55293764E-06
0.44	0.999733984	0.722014248	5.68207543E-06
0.45	0.999733984	0.755205929	5.81121321E-06
0.5	0.999733984	0.932353079	6.45690398E-06
0.6	0.999733984	1.34258854	7.74828550E-06
0.7	0.999733984	1.82741201	9.03966520E-06
0.8	0.999733984	2.38682413	1.03310467E-05
0.9	0.999733984	3.02082372	1.16224264E-05
0.99	0.999733984	3.65519714	1.27846697E-05
